40
-50 -46 40 -41
-50 -42 40 -37
-50 -38 40 -33
-50 -34 40 -29
-50 -30 40 -25
-50 -26 40 -21
-50 -22 40 -17
-50 -18 40 -13
-50 -14 40 -9
-50 -10 40 -5
-50 -6 40 -1
-50 -2 40 3
-50 2 40 7
-50 6 40 11
-50 10 40 15
-50 14 40 19
-50 18 40 23
-50 22 40 27
-50 26 40 31
-50 30 40 35
-46 -50 -41 40
-42 -50 -37 40
-38 -50 -33 40
-34 -50 -29 40
-30 -50 -25 40
-26 -50 -21 40
-22 -50 -17 40
-18 -50 -13 40
-14 -50 -9 40
-10 -50 -5 40
-6 -50 -1 40
-2 -50 3 40
2 -50 7 40
6 -50 11 40
10 -50 15 40
14 -50 19 40
18 -50 23 40
22 -50 27 40
26 -50 31 40
30 -50 35 40

Expected:
400
@(-45.765, -45.765): { 1, 21 }
@(-33.282, -37.071): { 3, 24 }
@(-33.059, -33.059): { 4, 24 }
@(-32.836, -29.046): { 5, 24 }
@(-32.613, -25.034): { 6, 24 }
@(-32.39, -21.022): { 7, 24 }
@(-32.167, -17.009): { 8, 24 }
@(-31.944, -12.997): { 9, 24 }
@(-31.721, -8.9845): { 10, 24 }
@(-31.498, -4.9721): { 11, 24 }
@(-31.276, -0.95975): { 12, 24 }
@(-31.053, 3.0526): { 13, 24 }
@(-30.83, 7.065):  { 14, 24 }
@(-30.607, 11.077): { 15, 24 }
@(-30.384, 15.09): { 16, 24 }
@(-30.161, 19.102): { 17, 24 }
@(-29.938, 23.115): { 18, 24 }
@(-29.715, -44.873): { 1, 25 }
@(-29.715, 27.127): { 19, 24 }
@(-29.492, -40.861): { 2, 25 }
@(-29.492, 31.139): { 20, 24 }
@(-29.269, -36.848): { 3, 25 }
@(-29.046, -32.836): { 4, 25 }
@(-28.824, -28.824): { 5, 25 }
@(-28.601, -24.811): { 6, 25 }
@(-28.378, -20.799): { 7, 25 }
@(-28.155, -16.786): { 8, 25 }
@(-27.932, -12.774): { 9, 25 }
@(-27.709, -8.7616): { 10, 25 }
@(-27.486, -4.7492): { 11, 25 }
@(-27.263, -0.73684): { 12, 25 }
@(-27.04, 3.2755): { 13, 25 }
@(-26.817, 7.2879): { 14, 25 }
@(-26.594, 11.3):  { 15, 25 }
@(-26.372, 15.313): { 16, 25 }
@(-26.149, 19.325): { 17, 25 }
@(-25.926, 23.337): { 18, 25 }
@(-25.703, -44.65): { 1, 26 }
@(-25.703, 27.35): { 19, 25 }
@(-25.48, -40.638): { 2, 26 }
@(-25.48, 31.362): { 20, 25 }
@(-25.257, -36.625): { 3, 26 }
@(-25.034, -32.613): { 4, 26 }
@(-24.811, -28.601): { 5, 26 }
@(-24.588, -24.588): { 6, 26 }
@(-24.365, -20.576): { 7, 26 }
@(-24.142, -16.563): { 8, 26 }
@(-23.92, -12.551): { 9, 26 }
@(-23.697, -8.5387): { 10, 26 }
@(-23.474, -4.5263): { 11, 26 }
@(-23.251, -0.51393): { 12, 26 }
@(-23.028, 3.4985): { 13, 26 }
@(-22.805, 7.5108): { 14, 26 }
@(-22.582, 11.523): { 15, 26 }
@(-22.359, 15.536): { 16, 26 }
@(-22.136, 19.548): { 17, 26 }
@(-21.913, 23.56): { 18, 26 }
@(-21.69, -44.427): { 1, 27 }
@(-21.69, 27.573): { 19, 26 }
@(-21.467, -40.415): { 2, 27 }
@(-21.467, 31.585): { 20, 26 }
@(-21.245, -36.402): { 3, 27 }
@(-21.022, -32.39): { 4, 27 }
@(-20.799, -28.378): { 5, 27 }
@(-20.576, -24.365): { 6, 27 }
@(-20.353, -20.353): { 7, 27 }
@(-20.13, -16.341): { 8, 27 }
@(-19.907, -12.328): { 9, 27 }
@(-19.684, -8.3158): { 10, 27 }
@(-19.461, -4.3034): { 11, 27 }
@(-19.238, -0.29102): { 12, 27 }
@(-19.015, 3.7214): { 13, 27 }
@(-18.793, 7.7337): { 14, 27 }
@(-18.57, 11.746): { 15, 27 }
@(-18.347, 15.759): { 16, 27 }
@(-18.124, 19.771): { 17, 27 }
@(-17.901, 23.783): { 18, 27 }
@(-17.678, -44.204): { 1, 28 }
@(-17.678, 27.796): { 19, 27 }
@(-17.455, -40.192): { 2, 28 }
@(-17.455, 31.808): { 20, 27 }
@(-17.232, -36.18): { 3, 28 }
@(-17.009, -32.167): { 4, 28 }
@(-16.786, -28.155): { 5, 28 }
@(-16.563, -24.142): { 6, 28 }
@(-16.341, -20.13): { 7, 28 }
@(-16.118, -16.118): { 8, 28 }
@(-15.895, -12.105): { 9, 28 }
@(-15.672, -8.0929): { 10, 28 }
@(-15.449, -4.0805): { 11, 28 }
@(-15.226, -0.068111): { 12, 28 }
@(-15.003, 3.9443): { 13, 28 }
@(-14.78, 7.9567): { 14, 28 }
@(-14.557, 11.969): { 15, 28 }
@(-14.334, 15.981): { 16, 28 }
@(-14.111, 19.994): { 17, 28 }
@(-13.889, 24.006): { 18, 28 }
@(-13.666, -43.981): { 1, 29 }
@(-13.666, 28.019): { 19, 28 }
@(-13.443, -39.969): { 2, 29 }
@(-13.443, 32.031): { 20, 28 }
@(-13.22, -35.957): { 3, 29 }
@(-12.997, -31.944): { 4, 29 }
@(-12.774, -27.932): { 5, 29 }
@(-12.551, -23.92): { 6, 29 }
@(-12.328, -19.907): { 7, 29 }
@(-12.105, -15.895): { 8, 29 }
@(-11.882, -11.882): { 9, 29 }
@(-11.659, -7.87): { 10, 29 }
@(-11.437, -3.8576): { 11, 29 }
@(-11.214, 0.1548): { 12, 29 }
@(-10.991, 4.1672): { 13, 29 }
@(-10.768, 8.1796): { 14, 29 }
@(-10.545, 12.192): { 15, 29 }
@(-10.322, 16.204): { 16, 29 }
@(-10.099, 20.217): { 17, 29 }
@(-9.8762, 24.229): { 18, 29 }
@(-9.6533, -43.759): { 1, 30 }
@(-9.6533, 28.241): { 19, 29 }
@(-9.4303, -39.746): { 2, 30 }
@(-9.4303, 32.254): { 20, 29 }
@(-9.2074, -35.734): { 3, 30 }
@(-8.9845, -31.721): { 4, 30 }
@(-8.7616, -27.709): { 5, 30 }
@(-8.5387, -23.697): { 6, 30 }
@(-8.3158, -19.684): { 7, 30 }
@(-8.0929, -15.672): { 8, 30 }
@(-7.87, -11.659): { 9, 30 }
@(-7.6471, -7.6471): { 10, 30 }
@(-7.4241, -3.6347): { 11, 30 }
@(-7.2012, 0.37771): { 12, 30 }
@(-6.9783, 4.3901): { 13, 30 }
@(-6.7554, 8.4025): { 14, 30 }
@(-6.5325, 12.415): { 15, 30 }
@(-6.3096, 16.427): { 16, 30 }
@(-6.0867, 20.44): { 17, 30 }
@(-5.8638, 24.452): { 18, 30 }
@(-5.6409, -43.536): { 1, 31 }
@(-5.6409, 28.464): { 19, 30 }
@(-5.418, -39.523): { 2, 31 }
@(-5.418, 32.477): { 20, 30 }
@(-5.195, -35.511): { 3, 31 }
@(-4.9721, -31.498): { 4, 31 }
@(-4.7492, -27.486): { 5, 31 }
@(-4.5263, -23.474): { 6, 31 }
@(-4.3034, -19.461): { 7, 31 }
@(-4.0805, -15.449): { 8, 31 }
@(-3.8576, -11.437): { 9, 31 }
@(-3.6347, -7.4241): { 10, 31 }
@(-3.4118, -3.4118): { 11, 31 }
@(-3.1889, 0.60062): { 12, 31 }
@(-2.9659, 4.613): { 13, 31 }
@(-2.743, 8.6254): { 14, 31 }
@(-2.5201, 12.638): { 15, 31 }
@(-2.2972, 16.65): { 16, 31 }
@(-2.0743, 20.663): { 17, 31 }
@(-1.8514, 24.675): { 18, 31 }
@(-1.6285, -43.313): { 1, 32 }
@(-1.6285, 28.687): { 19, 31 }
@(-1.4056, -39.3): { 2, 32 }
@(-1.4056, 32.7):  { 20, 31 }
@(-1.1827, -35.288): { 3, 32 }
@(-0.95975, -31.276): { 4, 32 }
@(-0.73684, -27.263): { 5, 32 }
@(-0.51393, -23.251): { 6, 32 }
@(-0.29102, -19.238): { 7, 32 }
@(-0.068111, -15.226): { 8, 32 }
@(0.1548, -11.214): { 9, 32 }
@(0.37771, -7.2012): { 10, 32 }
@(0.60062, -3.1889): { 11, 32 }
@(0.82353, 0.82353): { 12, 32 }
@(1.0464, 4.8359): { 13, 32 }
@(1.2693, 8.8483): { 14, 32 }
@(1.4923, 12.861): { 15, 32 }
@(1.7152, 16.873): { 16, 32 }
@(1.9381, 20.885): { 17, 32 }
@(2.161, 24.898):  { 18, 32 }
@(2.3839, -43.09): { 1, 33 }
@(2.3839, 28.91):  { 19, 32 }
@(2.6068, -39.077): { 2, 33 }
@(2.6068, 32.923): { 20, 32 }
@(2.8297, -35.065): { 3, 33 }
@(3.0526, -31.053): { 4, 33 }
@(3.2755, -27.04): { 5, 33 }
@(3.4985, -23.028): { 6, 33 }
@(3.7214, -19.015): { 7, 33 }
@(3.9443, -15.003): { 8, 33 }
@(4.1672, -10.991): { 9, 33 }
@(4.3901, -6.9783): { 10, 33 }
@(4.613, -2.9659): { 11, 33 }
@(4.8359, 1.0464): { 12, 33 }
@(5.0588, 5.0588): { 13, 33 }
@(5.2817, 9.0712): { 14, 33 }
@(5.5046, 13.084): { 15, 33 }
@(5.7276, 17.096): { 16, 33 }
@(5.9505, 21.108): { 17, 33 }
@(6.1734, 25.121): { 18, 33 }
@(6.3963, -42.867): { 1, 34 }
@(6.3963, 29.133): { 19, 33 }
@(6.6192, -38.854): { 2, 34 }
@(6.6192, 33.146): { 20, 33 }
@(6.8421, -34.842): { 3, 34 }
@(7.065, -30.83):  { 4, 34 }
@(7.2879, -26.817): { 5, 34 }
@(7.5108, -22.805): { 6, 34 }
@(7.7337, -18.793): { 7, 34 }
@(7.9567, -14.78): { 8, 34 }
@(8.1796, -10.768): { 9, 34 }
@(8.4025, -6.7554): { 10, 34 }
@(8.6254, -2.743): { 11, 34 }
@(8.8483, 1.2693): { 12, 34 }
@(9.0712, 5.2817): { 13, 34 }
@(9.2941, 9.2941): { 14, 34 }
@(9.517, 13.307):  { 15, 34 }
@(9.7399, 17.319): { 16, 34 }
@(9.9628, 21.331): { 17, 34 }
@(10.186, 25.344): { 18, 34 }
@(10.409, -42.644): { 1, 35 }
@(10.409, 29.356): { 19, 34 }
@(10.632, -38.632): { 2, 35 }
@(10.632, 33.368): { 20, 34 }
@(10.854, -34.619): { 3, 35 }
@(11.077, -30.607): { 4, 35 }
@(11.3, -26.594):  { 5, 35 }
@(11.523, -22.582): { 6, 35 }
@(11.746, -18.57): { 7, 35 }
@(11.969, -14.557): { 8, 35 }
@(12.192, -10.545): { 9, 35 }
@(12.415, -6.5325): { 10, 35 }
@(12.638, -2.5201): { 11, 35 }
@(12.861, 1.4923): { 12, 35 }
@(13.084, 5.5046): { 13, 35 }
@(13.307, 9.517):  { 14, 35 }
@(13.529, 13.529): { 15, 35 }
@(13.752, 17.542): { 16, 35 }
@(13.975, 21.554): { 17, 35 }
@(14.198, 25.567): { 18, 35 }
@(14.421, -42.421): { 1, 36 }
@(14.421, 29.579): { 19, 35 }
@(14.644, -38.409): { 2, 36 }
@(14.644, 33.591): { 20, 35 }
@(14.867, -34.396): { 3, 36 }
@(15.09, -30.384): { 4, 36 }
@(15.313, -26.372): { 5, 36 }
@(15.536, -22.359): { 6, 36 }
@(15.759, -18.347): { 7, 36 }
@(15.981, -14.334): { 8, 36 }
@(16.204, -10.322): { 9, 36 }
@(16.427, -6.3096): { 10, 36 }
@(16.65, -2.2972): { 11, 36 }
@(16.873, 1.7152): { 12, 36 }
@(17.096, 5.7276): { 13, 36 }
@(17.319, 9.7399): { 14, 36 }
@(17.542, 13.752): { 15, 36 }
@(17.765, 17.765): { 16, 36 }
@(17.988, 21.777): { 17, 36 }
@(18.211, 25.789): { 18, 36 }
@(18.433, -42.198): { 1, 37 }
@(18.433, 29.802): { 19, 36 }
@(18.656, -38.186): { 2, 37 }
@(18.656, 33.814): { 20, 36 }
@(18.879, -34.173): { 3, 37 }
@(19.102, -30.161): { 4, 37 }
@(19.325, -26.149): { 5, 37 }
@(19.548, -22.136): { 6, 37 }
@(19.771, -18.124): { 7, 37 }
@(19.994, -14.111): { 8, 37 }
@(20.217, -10.099): { 9, 37 }
@(20.44, -6.0867): { 10, 37 }
@(20.663, -2.0743): { 11, 37 }
@(20.885, 1.9381): { 12, 37 }
@(21.108, 5.9505): { 13, 37 }
@(21.331, 9.9628): { 14, 37 }
@(21.554, 13.975): { 15, 37 }
@(21.777, 17.988): { 16, 37 }
@(22, 22):         { 17, 37 }
@(22.223, 26.012): { 18, 37 }
@(22.446, -41.975): { 1, 38 }
@(22.446, 30.025): { 19, 37 }
@(22.669, -37.963): { 2, 38 }
@(22.669, 34.037): { 20, 37 }
@(22.892, -33.95): { 3, 38 }
@(23.115, -29.938): { 4, 38 }
@(23.337, -25.926): { 5, 38 }
@(23.56, -21.913): { 6, 38 }
@(23.783, -17.901): { 7, 38 }
@(24.006, -13.889): { 8, 38 }
@(24.229, -9.8762): { 9, 38 }
@(24.452, -5.8638): { 10, 38 }
@(24.675, -1.8514): { 11, 38 }
@(24.898, 2.161):  { 12, 38 }
@(25.121, 6.1734): { 13, 38 }
@(25.344, 10.186): { 14, 38 }
@(25.567, 14.198): { 15, 38 }
@(25.789, 18.211): { 16, 38 }
@(26.012, 22.223): { 17, 38 }
@(26.235, 26.235): { 18, 38 }
@(26.458, -41.752): { 1, 39 }
@(26.458, 30.248): { 19, 38 }
@(26.681, -37.74): { 2, 39 }
@(26.681, 34.26):  { 20, 38 }
@(26.904, -33.728): { 3, 39 }
@(27.127, -29.715): { 4, 39 }
@(27.35, -25.703): { 5, 39 }
@(27.573, -21.69): { 6, 39 }
@(27.796, -17.678): { 7, 39 }
@(28.019, -13.666): { 8, 39 }
@(28.241, -9.6533): { 9, 39 }
@(28.464, -5.6409): { 10, 39 }
@(28.687, -1.6285): { 11, 39 }
@(28.91, 2.3839):  { 12, 39 }
@(29.133, 6.3963): { 13, 39 }
@(29.356, 10.409): { 14, 39 }
@(29.579, 14.421): { 15, 39 }
@(29.802, 18.433): { 16, 39 }
@(30.025, 22.446): { 17, 39 }
@(30.248, 26.458): { 18, 39 }
@(30.471, -41.529): { 1, 40 }
@(30.471, 30.471): { 19, 39 }
@(30.693, -37.517): { 2, 40 }
@(30.693, 34.483): { 20, 39 }
@(30.916, -33.505): { 3, 40 }
@(31.139, -29.492): { 4, 40 }
@(31.362, -25.48): { 5, 40 }
@(31.585, -21.467): { 6, 40 }
@(31.808, -17.455): { 7, 40 }
@(32.031, -13.443): { 8, 40 }
@(32.254, -9.4303): { 9, 40 }
@(32.477, -5.418): { 10, 40 }
@(32.7, -1.4056):  { 11, 40 }
@(32.923, 2.6068): { 12, 40 }
@(33.146, 6.6192): { 13, 40 }
@(33.368, 10.632): { 14, 40 }
@(33.591, 14.644): { 15, 40 }
@(33.814, 18.656): { 16, 40 }
@(34.037, 22.669): { 17, 40 }
@(34.26, 26.681):  { 18, 40 }
@(34.483, 30.693): { 19, 40 }
@(34.706, 34.706): { 20, 40 }
